Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Target
0,0,0,0,1,0,1,0,1,45,81000,63.7685921,0,0
0,0,1,0,0,0,0,0,1,28,360000,50.34463404,21.43781186,1
1,0,0,1,1,0,0,0,2,33,292500,31.11631313,7.515554734,0
1,0,0,0,1,0,0,0,1,26,112500,43.40403978,0.815896288,0
1,1,1,1,1,0,0,0,2,27,225000,57.76436203,15.20633552,0
0,1,1,0,0,0,0,1,3,22,157500,34.22383759,15.77582017,0
1,1,1,0,0,0,0,0,1,10,180000,25.83215261,1.456566528,0
0,0,1,0,0,0,1,0,2,55,144000,63.8863221,0,0
0,1,1,0,0,0,0,0,1,13,112500,58.06826971,2.283414444,1
0,0,1,0,0,0,0,0,2,2,135000,48.08312286,2.694100495,0
1,0,1,0,0,0,0,0,2,1,283500,23.25578212,3.206089105,0
0,1,1,0,1,0,0,0,2,1,247500,43.58474164,5.760556343,0
1,1,1,0,0,0,1,1,3,21,270000,51.87786197,0,0
0,0,1,0,0,0,0,1,3,44,99000,28.54268055,2.072595604,0
1,0,1,0,0,0,0,0,1,18,135000,34.56881387,14.4972176,0
0,0,1,0,1,0,1,0,2,48,112500,57.06619575,0,0
0,0,0,0,0,0,0,1,2,6,132750,25.56383772,1.453828621,0
0,0,1,0,0,0,0,0,2,16,81000,49.07972101,1.092424896,1
0,0,0,0,1,0,0,1,2,51,135000,35.88848505,5.593544015,0
0,0,1,0,0,1,1,0,1,42,54000,62.69259465,0,0
1,1,0,0,0,0,0,0,2,7,225000,40.32663231,8.90093568,0
0,0,0,0,0,0,0,0,2,55,225000,59.22092856,7.036421008,1
0,0,1,0,0,0,0,0,2,20,135000,45.7175712,3.548327481,0
0,1,1,0,1,0,1,0,2,28,121500,64.46128257,0,0
1,0,1,0,0,0,1,0,2,15,135000,66.26282538,0,0
1,1,0,0,0,0,0,2,4,39,180000,33.51198177,12.76686037,0
1,0,0,0,0,0,0,2,4,26,202500,29.99103335,2.03974072,0
0,0,1,0,0,0,0,0,1,56,171000,27.99236124,5.675681225,0
1,1,1,1,1,0,0,1,3,39,90000,39.05076764,6.989876589,0
0,1,1,0,0,0,0,1,3,1,180000,30.62348987,3.876876322,0
0,1,0,0,1,1,0,2,4,60,315000,33.42710665,2.299841886,0
0,0,1,0,0,0,1,0,2,12,157500,55.06204782,0,0
1,0,0,1,1,0,0,0,2,58,135000,29.29286707,1.095162803,0
0,1,1,0,0,0,0,0,2,34,450000,54.22151037,3.178710035,0
1,0,0,0,1,0,0,2,4,30,135000,41.07955673,2.464116306,0
1,0,1,1,1,0,0,2,4,3,148500,43.44510839,12.10976269,0
0,0,1,0,0,0,0,2,3,36,270000,28.54268055,7.515554734,1
1,1,1,0,0,0,0,0,2,45,225000,50.75258219,0.96921908,0
1,1,1,1,1,0,0,0,2,9,157500,59.88623996,12.84352177,0
0,0,0,0,0,0,1,0,1,41,112500,59.21819065,0,0
0,0,1,0,1,0,0,0,2,17,157500,52.52674593,5.20476122,0
0,0,0,0,0,0,0,0,1,1,225000,40.92075813,10.17406244,0
0,0,1,0,1,0,1,1,3,2,121500,51.46443801,0,0
0,0,1,1,1,0,0,0,2,50,180000,59.99028043,2.037002813,0
0,0,1,0,0,0,1,0,2,27,72000,60.72403951,0,0
0,0,0,0,0,0,0,0,2,51,90000,31.80352779,8.293120324,1
0,0,1,0,0,0,1,0,2,34,148500,52.77589547,0,0
